Year,REGION,HA_NAME,HSDA_NAME,agegrp,SEX,DISEASE,INC_CRUDE_RATE,INC_CRUDE_RATE_LOWER,INC_CRUDE_RATE_UPPER,PRE_CRUDE_RATE,PRE_CRUDE_RATE_LOWER,PRE_CRUDE_RATE_UPPER,age_min,age_max
2001,HA-2,Fraser,,35-49,M,Asthma 1+,517.5,482.8,554.1,5.2,5.1,5.3,35.0,49.0
2001,HA-2,Fraser,,35-49,T,"Asthma, Episodic 1+",,,,3.6,3.6,3.7,35.0,49.0
2001,HA-2,Fraser,,35-49,T,Asthma 1+,637.8,610.3,666.2,6.5,6.4,6.6,35.0,49.0
2001,HA-2,Fraser,,50-64,F,Asthma 1+,855.0,798.2,914.9,8.7,8.6,8.9,50.0,64.0
2001,HA-2,Fraser,,50-64,F,"Asthma, Episodic 1+",,,,5.4,5.2,5.5,50.0,64.0
2001,HA-2,Fraser,,50-64,M,"Asthma, Episodic 1+",,,,3.6,3.5,3.7,50.0,64.0
2001,HA-2,Fraser,,50-64,M,Asthma 1+,518.0,474.5,564.5,5.8,5.7,6.0,50.0,64.0
2001,HA-2,Fraser,,50-64,T,"Asthma, Episodic 1+",,,,4.5,4.4,4.6,50.0,64.0
2001,HA-2,Fraser,,50-64,T,Asthma 1+,684.5,648.6,721.9,7.3,7.2,7.4,50.0,64.0
2001,HA-2,Fraser,,65-79,F,"Asthma, Episodic 1+",,,,7.6,7.4,7.8,65.0,79.0
2001,HA-2,Fraser,,65-79,F,Asthma 1+,959.1,880.6,1042.8,11.0,10.8,11.3,65.0,79.0
2001,HA-2,Fraser,,65-79,M,Asthma 1+,873.9,794.0,959.7,9.5,9.2,9.7,65.0,79.0
2001,HA-2,Fraser,,65-79,M,"Asthma, Episodic 1+",,,,6.8,6.6,7.1,65.0,79.0
2001,HA-2,Fraser,,65-79,T,"Asthma, Episodic 1+",,,,7.2,7.1,7.4,65.0,79.0
2001,HA-2,Fraser,,65-79,T,Asthma 1+,918.8,862.4,978.0,10.3,10.1,10.5,65.0,79.0
2001,HA-2,Fraser,,80+,F,Asthma 1+,892.4,774.7,1022.9,11.5,11.1,11.9,80.0,
2001,HA-2,Fraser,,80+,F,"Asthma, Episodic 1+",,,,7.7,7.4,8.0,80.0,
2001,HA-2,Fraser,,80+,M,"Asthma, Episodic 1+",,,,9.3,8.9,9.9,80.0,
2001,HA-2,Fraser,,80+,M,Asthma 1+,1009.2,843.2,1198.3,13.1,12.5,13.7,80.0,
2001,HA-2,Fraser,,80+,T,Asthma 1+,930.5,833.8,1035.3,12.1,11.7,12.4,80.0,
2001,HA-2,Fraser,,80+,T,"Asthma, Episodic 1+",,,,8.3,8.0,8.6,80.0,
2001,HA-2,Fraser,,Total,F,"Asthma, Episodic 1+",,,,4.9,4.8,4.9,,
2001,HA-2,Fraser,,Total,F,Asthma 1+,918.2,894.5,942.4,9.0,8.9,9.1,,
2001,HA-2,Fraser,,Total,M,Asthma 1+,862.9,839.6,886.6,8.5,8.4,8.5,,
2001,HA-2,Fraser,,Total,M,"Asthma, Episodic 1+",,,,4.5,4.4,4.5,,
2001,HA-2,Fraser,,Total,T,"Asthma, Episodic 1+",,,,4.7,4.6,4.7,,
2001,HA-2,Fraser,,Total,T,Asthma 1+,890.7,874.0,907.6,8.7,8.7,8.8,,
2001,HA-3,Vancouver Coastal,,1-19,F,Asthma 1+,1092.7,1026.1,1162.4,8.8,8.6,9.0,1.0,19.0
2001,HA-3,Vancouver Coastal,,1-19,F,"Asthma, Episodic 1+",,,,3.9,3.8,4.1,1.0,19.0
2001,HA-3,Vancouver Coastal,,1-19,M,"Asthma, Episodic 1+",,,,5.8,5.6,5.9,1.0,19.0
2001,HA-3,Vancouver Coastal,,1-19,M,Asthma 1+,1493.7,1416.2,1574.3,12.7,12.5,12.9,1.0,19.0
2001,HA-3,Vancouver Coastal,,1-19,T,Asthma 1+,1294.6,1243.2,1347.5,10.8,10.6,10.9,1.0,19.0
2001,HA-3,Vancouver Coastal,,1-19,T,"Asthma, Episodic 1+",,,,4.9,4.8,5.0,1.0,19.0
2001,HA-3,Vancouver Coastal,,20-34,F,"Asthma, Episodic 1+",,,,3.0,2.9,3.1,20.0,34.0
2001,HA-3,Vancouver Coastal,,20-34,F,Asthma 1+,643.5,596.7,692.9,5.9,5.8,6.1,20.0,34.0
2001,HA-3,Vancouver Coastal,,20-34,M,"Asthma, Episodic 1+",,,,2.3,2.2,2.3,20.0,34.0
2001,HA-3,Vancouver Coastal,,20-34,M,Asthma 1+,446.8,407.3,489.1,4.5,4.4,4.6,20.0,34.0
2001,HA-3,Vancouver Coastal,,20-34,T,"Asthma, Episodic 1+",,,,2.6,2.6,2.7,20.0,34.0
2001,HA-3,Vancouver Coastal,,20-34,T,Asthma 1+,547.0,516.1,579.3,5.2,5.1,5.3,20.0,34.0
2001,HA-3,Vancouver Coastal,,35-49,F,"Asthma, Episodic 1+",,,,3.4,3.4,3.6,35.0,49.0
2001,HA-3,Vancouver Coastal,,35-49,F,Asthma 1+,595.5,553.7,639.6,6.2,6.1,6.4,35.0,49.0
2001,HA-3,Vancouver Coastal,,35-49,M,"Asthma, Episodic 1+",,,,2.5,2.4,2.6,35.0,49.0
2001,HA-3,Vancouver Coastal,,35-49,M,Asthma 1+,472.1,434.9,511.7,4.3,4.2,4.5,35.0,49.0
2001,HA-3,Vancouver Coastal,,35-49,T,"Asthma, Episodic 1+",,,,3.0,2.9,3.0,35.0,49.0
2001,HA-3,Vancouver Coastal,,35-49,T,Asthma 1+,533.9,505.8,563.2,5.3,5.2,5.4,35.0,49.0
2001,HA-3,Vancouver Coastal,,50-64,F,"Asthma, Episodic 1+",,,,4.4,4.2,4.5,50.0,64.0
2001,HA-3,Vancouver Coastal,,50-64,F,Asthma 1+,679.3,623.2,739.2,7.1,7.0,7.3,50.0,64.0
2001,HA-3,Vancouver Coastal,,50-64,M,Asthma 1+,464.9,419.0,514.4,5.1,4.9,5.2,50.0,64.0
2001,HA-3,Vancouver Coastal,,50-64,M,"Asthma, Episodic 1+",,,,3.1,2.9,3.2,50.0,64.0
2001,HA-3,Vancouver Coastal,,50-64,T,"Asthma, Episodic 1+",,,,3.7,3.6,3.8,50.0,64.0
2001,HA-3,Vancouver Coastal,,50-64,T,Asthma 1+,571.2,534.7,609.4,6.1,6.0,6.2,50.0,64.0
2001,HA-3,Vancouver Coastal,,65-79,F,Asthma 1+,826.0,745.1,913.2,9.3,9.0,9.5,65.0,79.0
2001,HA-3,Vancouver Coastal,,65-79,F,"Asthma, Episodic 1+",,,,6.2,5.9,6.4,65.0,79.0
2001,HA-3,Vancouver Coastal,,65-79,M,"Asthma, Episodic 1+",,,,5.7,5.5,5.9,65.0,79.0
2001,HA-3,Vancouver Coastal,,65-79,M,Asthma 1+,762.0,679.8,851.4,8.2,7.9,8.5,65.0,79.0
2001,HA-3,Vancouver Coastal,,65-79,T,"Asthma, Episodic 1+",,,,5.9,5.8,6.1,65.0,79.0
2001,HA-3,Vancouver Coastal,,65-79,T,Asthma 1+,795.6,737.5,857.1,8.8,8.6,9.0,65.0,79.0
2001,HA-3,Vancouver Coastal,,80+,F,"Asthma, Episodic 1+",,,,6.7,6.3,7.0,80.0,
2001,HA-3,Vancouver Coastal,,80+,F,Asthma 1+,782.6,666.8,912.9,10.4,10.0,10.8,80.0,
2001,HA-3,Vancouver Coastal,,80+,M,Asthma 1+,862.0,694.9,1057.2,10.8,10.2,11.4,80.0,
2001,HA-3,Vancouver Coastal,,80+,M,"Asthma, Episodic 1+",,,,7.2,6.7,7.7,80.0,
2001,HA-3,Vancouver Coastal,,80+,T,"Asthma, Episodic 1+",,,,6.8,6.6,7.1,80.0,
2001,HA-3,Vancouver Coastal,,80+,T,Asthma 1+,807.0,710.8,912.6,10.5,10.2,10.8,80.0,
2001,HA-3,Vancouver Coastal,,Total,F,Asthma 1+,747.6,723.2,772.7,7.3,7.2,7.4,,
2001,HA-3,Vancouver Coastal,,Total,F,"Asthma, Episodic 1+",,,,4.0,4.0,4.1,,
2001,HA-3,Vancouver Coastal,,Total,M,"Asthma, Episodic 1+",,,,3.7,3.6,3.7,,
2001,HA-3,Vancouver Coastal,,Total,M,Asthma 1+,708.7,684.5,733.6,6.8,6.7,6.9,,
2001,HA-3,Vancouver Coastal,,Total,T,Asthma 1+,728.4,711.2,746.0,7.1,7.0,7.1,,
2001,HA-3,Vancouver Coastal,,Total,T,"Asthma, Episodic 1+",,,,3.8,3.8,3.9,,
2001,HA-4,Vancouver Island,,1-19,F,"Asthma, Episodic 1+",,,,4.9,4.7,5.0,1.0,19.0
2001,HA-4,Vancouver Island,,1-19,F,Asthma 1+,1229.0,1146.7,1315.6,11.0,10.7,11.2,1.0,19.0
2001,HA-4,Vancouver Island,,1-19,M,"Asthma, Episodic 1+",,,,6.2,6.0,6.4,1.0,19.0
2001,HA-4,Vancouver Island,,1-19,M,Asthma 1+,1519.5,1427.9,1615.4,14.4,14.1,14.7,1.0,19.0
2001,HA-4,Vancouver Island,,1-19,T,"Asthma, Episodic 1+",,,,5.5,5.4,5.7,1.0,19.0
2001,HA-4,Vancouver Island,,1-19,T,Asthma 1+,1374.2,1312.4,1438.2,12.7,12.5,12.9,1.0,19.0
2001,HA-4,Vancouver Island,,20-34,F,"Asthma, Episodic 1+",,,,4.8,4.6,5.0,20.0,34.0
2001,HA-4,Vancouver Island,,20-34,F,Asthma 1+,851.2,775.6,932.1,9.8,9.6,10.1,20.0,34.0
2001,HA-4,Vancouver Island,,20-34,M,"Asthma, Episodic 1+",,,,3.1,3.0,3.3,20.0,34.0
2001,HA-4,Vancouver Island,,20-34,M,Asthma 1+,427.3,374.0,486.1,6.4,6.2,6.6,20.0,34.0
2001,HA-4,Vancouver Island,,20-34,T,"Asthma, Episodic 1+",,,,4.0,3.9,4.1,20.0,34.0
2001,HA-4,Vancouver Island,,20-34,T,Asthma 1+,640.5,593.9,689.9,8.1,8.0,8.3,20.0,34.0
2001,HA-4,Vancouver Island,,35-49,F,"Asthma, Episodic 1+",,,,4.6,4.5,4.8,35.0,49.0
2001,HA-4,Vancouver Island,,35-49,F,Asthma 1+,737.7,678.6,800.6,7.8,7.6,8.0,35.0,49.0
2001,HA-4,Vancouver Island,,35-49,M,"Asthma, Episodic 1+",,,,2.8,2.7,3.0,35.0,49.0
2001,HA-4,Vancouver Island,,35-49,M,Asthma 1+,417.0,371.6,466.3,4.6,4.4,4.7,35.0,49.0
2001,HA-4,Vancouver Island,,35-49,T,"Asthma, Episodic 1+",,,,3.8,3.7,3.9,35.0,49.0
2001,HA-4,Vancouver Island,,35-49,T,Asthma 1+,581.8,544.0,621.5,6.3,6.1,6.4,35.0,49.0
2001,HA-4,Vancouver Island,,50-64,F,"Asthma, Episodic 1+",,,,5.4,5.3,5.6,50.0,64.0
2001,HA-4,Vancouver Island,,50-64,F,Asthma 1+,814.8,743.3,891.4,8.3,8.0,8.5,50.0,64.0
2001,HA-4,Vancouver Island,,50-64,M,"Asthma, Episodic 1+",,,,3.3,3.1,3.4,50.0,64.0
2001,HA-4,Vancouver Island,,50-64,M,Asthma 1+,465.2,411.9,523.5,4.9,4.7,5.1,50.0,64.0
2001,HA-4,Vancouver Island,,50-64,T,"Asthma, Episodic 1+",,,,4.4,4.3,4.5,50.0,64.0
2001,HA-4,Vancouver Island,,50-64,T,Asthma 1+,638.6,593.7,685.9,6.6,6.5,6.7,50.0,64.0
2001,HA-4,Vancouver Island,,65-79,F,"Asthma, Episodic 1+",,,,7.1,6.8,7.3,65.0,79.0
2001,HA-4,Vancouver Island,,65-79,F,Asthma 1+,855.7,766.6,952.5,9.8,9.5,10.1,65.0,79.0
2001,HA-4,Vancouver Island,,65-79,M,"Asthma, Episodic 1+",,,,6.3,6.0,6.5,65.0,79.0
2001,HA-4,Vancouver Island,,65-79,M,Asthma 1+,752.9,665.3,848.8,8.2,8.0,8.5,65.0,79.0
2001,HA-4,Vancouver Island,,65-79,T,"Asthma, Episodic 1+",,,,6.7,6.5,6.9,65.0,79.0
2001,HA-4,Vancouver Island,,65-79,T,Asthma 1+,806.3,743.2,873.4,9.1,8.9,9.3,65.0,79.0
2001,HA-4,Vancouver Island,,80+,F,"Asthma, Episodic 1+",,,,6.9,6.5,7.3,80.0,
2001,HA-4,Vancouver Island,,80+,F,Asthma 1+,726.2,605.9,863.5,10.1,9.6,10.5,80.0,
2001,HA-4,Vancouver Island,,80+,M,"Asthma, Episodic 1+",,,,8.3,7.8,8.9,80.0,
2001,HA-4,Vancouver Island,,80+,M,Asthma 1+,922.7,745.7,1129.2,11.3,10.6,11.9,80.0,
2001,HA-4,Vancouver Island,,80+,T,"Asthma, Episodic 1+",,,,7.4,7.1,7.7,80.0,
2001,HA-4,Vancouver Island,,80+,T,Asthma 1+,793.7,692.7,905.2,10.5,10.1,10.9,80.0,
2001,HA-4,Vancouver Island,,Total,F,"Asthma, Episodic 1+",,,,5.3,5.2,5.4,,
2001,HA-4,Vancouver Island,,Total,F,Asthma 1+,890.9,858.2,924.4,9.3,9.2,9.4,,
2001,HA-4,Vancouver Island,,Total,M,"Asthma, Episodic 1+",,,,4.4,4.3,4.4,,
2001,HA-4,Vancouver Island,,Total,M,Asthma 1+,733.0,702.7,764.3,8.0,7.9,8.1,,
2001,HA-4,Vancouver Island,,Total,T,"Asthma, Episodic 1+",,,,4.8,4.8,4.9,,
2001,HA-4,Vancouver Island,,Total,T,Asthma 1+,813.6,791.2,836.4,8.7,8.6,8.7,,
2001,HA-5,Northern,,1-19,F,Asthma 1+,1093.0,991.0,1202.7,9.2,9.0,9.5,1.0,19.0
2001,HA-5,Northern,,1-19,F,"Asthma, Episodic 1+",,,,4.1,3.9,4.3,1.0,19.0
2001,HA-5,Northern,,1-19,M,"Asthma, Episodic 1+",,,,5.6,5.4,5.8,1.0,19.0
2001,HA-5,Northern,,1-19,M,Asthma 1+,1322.2,1211.3,1440.5,12.2,11.9,12.5,1.0,19.0
2001,HA-5,Northern,,1-19,T,Asthma 1+,1209.3,1133.3,1289.0,10.8,10.6,11.0,1.0,19.0
2001,HA-5,Northern,,1-19,T,"Asthma, Episodic 1+",,,,4.9,4.7,5.0,1.0,19.0
2001,HA-5,Northern,,20-34,F,"Asthma, Episodic 1+",,,,4.2,3.9,4.4,20.0,34.0
2001,HA-5,Northern,,20-34,F,Asthma 1+,667.8,575.3,771.0,8.4,8.0,8.7,20.0,34.0
2001,HA-5,Northern,,20-34,M,Asthma 1+,449.5,375.6,533.8,5.1,4.9,5.4,20.0,34.0
2001,HA-5,Northern,,20-34,M,"Asthma, Episodic 1+",,,,2.6,2.5,2.8,20.0,34.0
2001,HA-5,Northern,,20-34,T,"Asthma, Episodic 1+",,,,3.4,3.3,3.6,20.0,34.0
2001,HA-5,Northern,,20-34,T,Asthma 1+,556.6,496.9,621.4,6.7,6.5,6.9,20.0,34.0
2001,HA-5,Northern,,35-49,F,Asthma 1+,728.9,641.0,825.5,7.1,6.8,7.4,35.0,49.0
2001,HA-5,Northern,,35-49,F,"Asthma, Episodic 1+",,,,4.3,4.1,4.5,35.0,49.0
2001,HA-5,Northern,,35-49,M,"Asthma, Episodic 1+",,,,2.3,2.1,2.5,35.0,49.0
2001,HA-5,Northern,,35-49,M,Asthma 1+,401.4,338.9,472.0,3.9,3.7,4.1,35.0,49.0
2001,HA-5,Northern,,35-49,T,Asthma 1+,559.6,505.7,617.7,5.5,5.3,5.7,35.0,49.0
2001,HA-5,Northern,,35-49,T,"Asthma, Episodic 1+",,,,3.3,3.2,3.4,35.0,49.0
2001,HA-5,Northern,,50-64,F,"Asthma, Episodic 1+",,,,5.4,5.1,5.7,50.0,64.0
2001,HA-5,Northern,,50-64,F,Asthma 1+,884.0,757.2,1026.0,8.0,7.6,8.4,50.0,64.0
2001,HA-5,Northern,,50-64,M,Asthma 1+,449.1,366.5,544.6,4.7,4.5,5.0,50.0,64.0
2001,HA-5,Northern,,50-64,M,"Asthma, Episodic 1+",,,,3.3,3.0,3.5,50.0,64.0
2001,HA-5,Northern,,50-64,T,"Asthma, Episodic 1+",,,,4.3,4.1,4.5,50.0,64.0
2001,HA-5,Northern,,50-64,T,Asthma 1+,649.1,574.7,730.3,6.3,6.0,6.5,50.0,64.0
2001,HA-5,Northern,,65-79,F,Asthma 1+,933.1,733.9,1169.6,10.4,9.8,11.1,65.0,79.0
2001,HA-5,Northern,,65-79,F,"Asthma, Episodic 1+",,,,7.5,7.0,8.1,65.0,79.0
2001,HA-5,Northern,,65-79,M,"Asthma, Episodic 1+",,,,7.0,6.4,7.5,65.0,79.0
2001,HA-5,Northern,,65-79,M,Asthma 1+,914.2,724.9,1137.8,9.1,8.5,9.7,65.0,79.0
