"REF_DATE","GEO","DGUID","Age group","Sex","Element","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","British Columbia","2016A000259","4 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171554","10.5.1.3","0.00006","","","","5"
"2022","British Columbia","2016A000259","4 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171554","10.5.1.3","0.00007","","","","5"
"2012","British Columbia","2016A000259","5 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171581","10.6.1.3","0.00007","","","","5"
"2013","British Columbia","2016A000259","5 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171581","10.6.1.3","0.00006","","","","5"
"2014","British Columbia","2016A000259","5 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171581","10.6.1.3","0.00008","","","","5"
"2015","British Columbia","2016A000259","5 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171581","10.6.1.3","0.00011","","","","5"
"2016","British Columbia","2016A000259","5 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171581","10.6.1.3","0.00008","","","","5"
"2017","British Columbia","2016A000259","5 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171581","10.6.1.3","0.00012","","","","5"
"2018","British Columbia","2016A000259","5 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171581","10.6.1.3","0.00009","","","","5"
"2019","British Columbia","2016A000259","5 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171581","10.6.1.3","0.00007","","","","5"
"2020","British Columbia","2016A000259","5 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171581","10.6.1.3","0.00007","","","","5"
"2021","British Columbia","2016A000259","5 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171581","10.6.1.3","0.00005","","","","5"
"2022","British Columbia","2016A000259","5 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171581","10.6.1.3","0.00006","","","","5"
"2012","British Columbia","2016A000259","6 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171608","10.7.1.3","0.00005","","","","5"
"2013","British Columbia","2016A000259","6 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171608","10.7.1.3","0.00005","","","","5"
"2014","British Columbia","2016A000259","6 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171608","10.7.1.3","0.00007","","","","5"
"2015","British Columbia","2016A000259","6 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171608","10.7.1.3","0.00009","","","","5"
"2016","British Columbia","2016A000259","6 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171608","10.7.1.3","0.00007","","","","5"
"2017","British Columbia","2016A000259","6 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171608","10.7.1.3","0.00010","","","","5"
"2018","British Columbia","2016A000259","6 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171608","10.7.1.3","0.00008","","","","5"
"2019","British Columbia","2016A000259","6 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171608","10.7.1.3","0.00006","","","","5"
"2020","British Columbia","2016A000259","6 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171608","10.7.1.3","0.00006","","","","5"
"2021","British Columbia","2016A000259","6 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171608","10.7.1.3","0.00005","","","","5"
"2022","British Columbia","2016A000259","6 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171608","10.7.1.3","0.00005","","","","5"
"2012","British Columbia","2016A000259","7 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171635","10.8.1.3","0.00005","","","","5"
"2013","British Columbia","2016A000259","7 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171635","10.8.1.3","0.00005","","","","5"
"2014","British Columbia","2016A000259","7 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171635","10.8.1.3","0.00006","","","","5"
"2015","British Columbia","2016A000259","7 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171635","10.8.1.3","0.00008","","","","5"
"2016","British Columbia","2016A000259","7 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171635","10.8.1.3","0.00007","","","","5"
"2017","British Columbia","2016A000259","7 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171635","10.8.1.3","0.00009","","","","5"
"2018","British Columbia","2016A000259","7 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171635","10.8.1.3","0.00007","","","","5"
"2019","British Columbia","2016A000259","7 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171635","10.8.1.3","0.00006","","","","5"
"2020","British Columbia","2016A000259","7 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171635","10.8.1.3","0.00005","","","","5"
"2021","British Columbia","2016A000259","7 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171635","10.8.1.3","0.00004","","","","5"
"2022","British Columbia","2016A000259","7 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171635","10.8.1.3","0.00005","","","","5"
"2012","British Columbia","2016A000259","8 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171662","10.9.1.3","0.00004","","","","5"
"2013","British Columbia","2016A000259","8 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171662","10.9.1.3","0.00005","","","","5"
"2014","British Columbia","2016A000259","8 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171662","10.9.1.3","0.00005","","","","5"
"2015","British Columbia","2016A000259","8 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171662","10.9.1.3","0.00007","","","","5"
"2016","British Columbia","2016A000259","8 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171662","10.9.1.3","0.00006","","","","5"
"2017","British Columbia","2016A000259","8 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171662","10.9.1.3","0.00009","","","","5"
"2018","British Columbia","2016A000259","8 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171662","10.9.1.3","0.00007","","","","5"
"2019","British Columbia","2016A000259","8 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171662","10.9.1.3","0.00005","","","","5"
"2020","British Columbia","2016A000259","8 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171662","10.9.1.3","0.00005","","","","5"
"2021","British Columbia","2016A000259","8 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171662","10.9.1.3","0.00005","","","","5"
"2022","British Columbia","2016A000259","8 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171662","10.9.1.3","0.00006","","","","5"
"2012","British Columbia","2016A000259","9 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171689","10.10.1.3","0.00004","","","","5"
"2013","British Columbia","2016A000259","9 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171689","10.10.1.3","0.00005","","","","5"
"2014","British Columbia","2016A000259","9 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171689","10.10.1.3","0.00004","","","","5"
"2015","British Columbia","2016A000259","9 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171689","10.10.1.3","0.00006","","","","5"
"2016","British Columbia","2016A000259","9 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171689","10.10.1.3","0.00006","","","","5"
"2017","British Columbia","2016A000259","9 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171689","10.10.1.3","0.00008","","","","5"
"2018","British Columbia","2016A000259","9 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171689","10.10.1.3","0.00007","","","","5"
"2019","British Columbia","2016A000259","9 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171689","10.10.1.3","0.00005","","","","5"
"2020","British Columbia","2016A000259","9 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171689","10.10.1.3","0.00004","","","","5"
"2021","British Columbia","2016A000259","9 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171689","10.10.1.3","0.00005","","","","5"
"2022","British Columbia","2016A000259","9 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171689","10.10.1.3","0.00007","","","","5"
"2012","British Columbia","2016A000259","10 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171716","10.11.1.3","0.00005","","","","5"
"2013","British Columbia","2016A000259","10 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171716","10.11.1.3","0.00006","","","","5"
"2014","British Columbia","2016A000259","10 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171716","10.11.1.3","0.00004","","","","5"
"2015","British Columbia","2016A000259","10 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171716","10.11.1.3","0.00006","","","","5"
"2016","British Columbia","2016A000259","10 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171716","10.11.1.3","0.00007","","","","5"
"2017","British Columbia","2016A000259","10 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171716","10.11.1.3","0.00008","","","","5"
"2018","British Columbia","2016A000259","10 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171716","10.11.1.3","0.00007","","","","5"
"2019","British Columbia","2016A000259","10 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171716","10.11.1.3","0.00006","","","","5"
"2020","British Columbia","2016A000259","10 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171716","10.11.1.3","0.00004","","","","5"
"2021","British Columbia","2016A000259","10 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171716","10.11.1.3","0.00006","","","","5"
"2022","British Columbia","2016A000259","10 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171716","10.11.1.3","0.00009","","","","5"
"2012","British Columbia","2016A000259","11 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171743","10.12.1.3","0.00006","","","","5"
"2013","British Columbia","2016A000259","11 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171743","10.12.1.3","0.00007","","","","5"
"2014","British Columbia","2016A000259","11 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171743","10.12.1.3","0.00004","","","","5"
"2015","British Columbia","2016A000259","11 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171743","10.12.1.3","0.00006","","","","5"
"2016","British Columbia","2016A000259","11 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171743","10.12.1.3","0.00008","","","","5"
"2017","British Columbia","2016A000259","11 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171743","10.12.1.3","0.00008","","","","5"
"2018","British Columbia","2016A000259","11 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171743","10.12.1.3","0.00008","","","","5"
"2019","British Columbia","2016A000259","11 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171743","10.12.1.3","0.00007","","","","5"
"2020","British Columbia","2016A000259","11 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171743","10.12.1.3","0.00004","","","","5"
"2021","British Columbia","2016A000259","11 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171743","10.12.1.3","0.00008","","","","5"
"2022","British Columbia","2016A000259","11 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171743","10.12.1.3","0.00011","","","","5"
"2012","British Columbia","2016A000259","12 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171770","10.13.1.3","0.00007","","","","5"
"2013","British Columbia","2016A000259","12 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171770","10.13.1.3","0.00009","","","","5"
"2014","British Columbia","2016A000259","12 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171770","10.13.1.3","0.00005","","","","5"
"2015","British Columbia","2016A000259","12 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171770","10.13.1.3","0.00007","","","","5"
"2016","British Columbia","2016A000259","12 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171770","10.13.1.3","0.00009","","","","5"
"2017","British Columbia","2016A000259","12 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171770","10.13.1.3","0.00009","","","","5"
"2018","British Columbia","2016A000259","12 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171770","10.13.1.3","0.00009","","","","5"
"2019","British Columbia","2016A000259","12 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171770","10.13.1.3","0.00008","","","","5"
"2020","British Columbia","2016A000259","12 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171770","10.13.1.3","0.00005","","","","5"
"2021","British Columbia","2016A000259","12 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171770","10.13.1.3","0.00010","","","","5"
"2022","British Columbia","2016A000259","12 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171770","10.13.1.3","0.00014","","","","5"
"2012","British Columbia","2016A000259","13 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171797","10.14.1.3","0.00009","","","","5"
"2013","British Columbia","2016A000259","13 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171797","10.14.1.3","0.00011","","","","5"
"2014","British Columbia","2016A000259","13 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171797","10.14.1.3","0.00006","","","","5"
"2015","British Columbia","2016A000259","13 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171797","10.14.1.3","0.00008","","","","5"
"2016","British Columbia","2016A000259","13 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171797","10.14.1.3","0.00011","","","","5"
"2017","British Columbia","2016A000259","13 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171797","10.14.1.3","0.00012","","","","5"
"2018","British Columbia","2016A000259","13 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171797","10.14.1.3","0.00011","","","","5"
"2019","British Columbia","2016A000259","13 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171797","10.14.1.3","0.00010","","","","5"
"2020","British Columbia","2016A000259","13 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171797","10.14.1.3","0.00007","","","","5"
"2021","British Columbia","2016A000259","13 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171797","10.14.1.3","0.00012","","","","5"
"2022","British Columbia","2016A000259","13 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171797","10.14.1.3","0.00018","","","","5"
"2012","British Columbia","2016A000259","14 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171824","10.15.1.3","0.00013","","","","5"
"2013","British Columbia","2016A000259","14 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171824","10.15.1.3","0.00014","","","","5"
"2014","British Columbia","2016A000259","14 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171824","10.15.1.3","0.00010","","","","5"
"2015","British Columbia","2016A000259","14 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171824","10.15.1.3","0.00011","","","","5"
"2016","British Columbia","2016A000259","14 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171824","10.15.1.3","0.00013","","","","5"
"2017","British Columbia","2016A000259","14 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171824","10.15.1.3","0.00016","","","","5"
"2018","British Columbia","2016A000259","14 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171824","10.15.1.3","0.00015","","","","5"
"2019","British Columbia","2016A000259","14 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171824","10.15.1.3","0.00013","","","","5"
"2020","British Columbia","2016A000259","14 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171824","10.15.1.3","0.00010","","","","5"
"2021","British Columbia","2016A000259","14 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171824","10.15.1.3","0.00016","","","","5"
"2022","British Columbia","2016A000259","14 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171824","10.15.1.3","0.00023","","","","5"
"2012","British Columbia","2016A000259","15 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171851","10.16.1.3","0.00019","","","","5"
"2013","British Columbia","2016A000259","15 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171851","10.16.1.3","0.00018","","","","5"
"2014","British Columbia","2016A000259","15 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171851","10.16.1.3","0.00017","","","","5"
"2015","British Columbia","2016A000259","15 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171851","10.16.1.3","0.00016","","","","5"
"2016","British Columbia","2016A000259","15 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171851","10.16.1.3","0.00017","","","","5"
"2017","British Columbia","2016A000259","15 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171851","10.16.1.3","0.00023","","","","5"
"2018","British Columbia","2016A000259","15 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171851","10.16.1.3","0.00022","","","","5"
"2019","British Columbia","2016A000259","15 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171851","10.16.1.3","0.00019","","","","5"
"2020","British Columbia","2016A000259","15 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171851","10.16.1.3","0.00016","","","","5"
"2021","British Columbia","2016A000259","15 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171851","10.16.1.3","0.00022","","","","5"
"2022","British Columbia","2016A000259","15 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171851","10.16.1.3","0.00029","","","","5"
"2012","British Columbia","2016A000259","16 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171878","10.17.1.3","0.00028","","","","5"
"2013","British Columbia","2016A000259","16 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171878","10.17.1.3","0.00023","","","","5"
"2014","British Columbia","2016A000259","16 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300171878","10.17.1.3","0.00029","","","","5"
